,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
117800,Kerstin Kielga,30.0,179.0,62.0,GER,2000,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,3,3
117897,Suzanne Kiffer-Porte (Porte-),23.0,169.89336016096578,60.55612244897959,FRA,1924,Paris,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
117905,Lenore M. Kight-Wingard,20.0,170.7595744680851,60.61899563318777,USA,1932,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Silver,2,1
117906,Lenore M. Kight-Wingard,24.0,170.7595744680851,60.61899563318777,USA,1936,Berlin,Swimming,Swimming Women's 400 metres Freestyle,Bronze,2,2
117908,Michiko Kihara,16.0,167.0,59.0,JPN,1964,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
117909,Michiko Kihara,16.0,167.0,59.0,JPN,1964,Tokyo,Swimming,Swimming Women's 100 metres Backstroke,no medal,1,1
117910,Michiko Kihara,16.0,167.0,59.0,JPN,1964,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,1,1
117976,Tazuko Kikutani,17.0,158.0,56.0,JPN,1964,Tokyo,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
118066,Klra Killermann-Bartos (Kelenhegyi-),23.0,164.0,61.0,HUN,1952,Helsinki,Swimming,Swimming Women's 200 metres Breaststroke,no medal,3,1
118067,Klra Killermann-Bartos (Kelenhegyi-),27.0,164.0,61.0,HUN,1956,Melbourne,Swimming,Swimming Women's 200 metres Breaststroke,no medal,3,2
118068,Klra Killermann-Bartos (Kelenhegyi-),31.0,164.0,61.0,HUN,1960,Roma,Swimming,Swimming Women's 200 metres Breaststroke,no medal,3,3
118069,Klra Killermann-Bartos (Kelenhegyi-),31.0,164.0,61.0,HUN,1960,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,3,3
118335,Kim Eun-Jeong,15.0,157.0,51.0,KOR,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
118336,Kim Eun-Jeong,15.0,157.0,51.0,KOR,1988,Seoul,Swimming,Swimming Women's 200 metres Freestyle,no medal,1,1
118337,Kim Eun-Jeong,15.0,157.0,51.0,KOR,1988,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
118348,Kim Ga-Eul,15.0,160.0,52.0,KOR,2012,London,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
118531,Kim Hye-Jin,18.0,167.0,62.0,KOR,2012,London,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
118556,Kim Hyeon-Ju,18.0,174.0,63.0,KOR,2004,Athina,Swimming,Swimming Women's 200 metres Freestyle,no medal,1,1
118557,Kim Hyeon-Ju,18.0,174.0,63.0,KOR,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
118705,Kim Jin-Suk,15.0,165.0,48.0,KOR,1984,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
118706,Kim Jin-Suk,15.0,165.0,48.0,KOR,1984,Los Angeles,Swimming,Swimming Women's 200 metres Freestyle,no medal,1,1
118945,Kim Seo-Yeong,18.0,163.0,51.0,KOR,2012,London,Swimming,Swimming Women's 400 metres Individual Medley,no medal,2,1
118946,Kim Seo-Yeong,22.0,163.0,51.0,KOR,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,no medal,2,2
119072,Kim Su-Jin,14.0,162.0,57.0,KOR,1988,Seoul,Swimming,Swimming Women's 100 metres Butterfly,no medal,1,1
119073,Kim Su-Jin,14.0,162.0,57.0,KOR,1988,Seoul,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
119264,Kim Yu-Yeon,17.0,160.0,54.0,KOR,2008,Beijing,Swimming,Swimming Women's 100 metres Backstroke,no medal,1,1
119322,Eri Kimura,18.0,160.0,50.0,JPN,1992,Barcelona,Swimming,Swimming Women's 200 metres Individual Medley,no medal,1,1
