,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
195943,"Pamela Leila ""Pam"" Rai",18.0,172.0,57.0,CAN,1984,Los Angeles,no medal,1,1
196775,Ineke Yvonne Ran,14.0,176.0,62.0,NED,1976,Montreal,no medal,1,1
196912,Nina Georgieva Rangelova,21.0,170.0,58.0,BUL,2012,London,no medal,3,2
196915,Nina Georgieva Rangelova,25.0,170.0,58.0,BUL,2016,Rio de Janeiro,no medal,3,3
197227,Karen Maud Rasmussen (-Pedersen),17.0,171.32436260623228,61.75478645066274,DEN,1924,Paris,no medal,1,1
197279,Hedevig Rasmussen-Gjrling (-Jensen),22.0,171.32436260623228,61.75478645066274,DEN,1924,Paris,no medal,1,1
197435,Bako Ratsifa Andrihamanana,16.0,154.0,47.0,MAD,1980,Moskva,no medal,1,1
197664,"Katherine Louise Rawls (-Thompson, -Green)",19.0,171.32436260623228,61.75478645066274,USA,1936,Berlin,no medal,2,2
198031,Elisabeth Rechlin (-Bode),22.0,171.32436260623228,61.75478645066274,GER,1952,Helsinki,no medal,1,1
198884,Ins Remersaro Coronel,23.0,167.0,55.0,URU,2016,Rio de Janeiro,no medal,2,2
199114,Rhoda Lilian Rennie (-Wrighton),19.0,171.32436260623228,61.75478645066274,RSA,1928,Amsterdam,no medal,1,1
199359,Lize-Mari Retief,21.0,171.0,59.0,RSA,2008,Beijing,no medal,1,1
199411,Isabel Reuss Gerding,18.0,174.0,60.0,MEX,1980,Moskva,no medal,1,1
200029,Anne Richard,16.0,169.0,57.0,BEL,1976,Montreal,no medal,1,1
200787,"Anthonia Marie ""Anke"" Rijnders (-Gerritse)",16.0,171.32436260623228,61.75478645066274,NED,1972,Munich,no medal,1,1
201248,Raili Anita Hillevi Riuttala (-Laiho),18.0,160.0,53.0,FIN,1952,Helsinki,no medal,1,1
201355,Mara Soledad Rivera Berrueto,21.0,183.0,65.0,MEX,1988,Seoul,no medal,1,1
201370,Teresa Rivera Pastrana,18.0,161.0,62.0,MEX,1984,Los Angeles,no medal,2,2
201392,Karen Nathalia Riveros Schulz,17.0,170.0,66.0,PAR,2012,London,no medal,2,1
201393,Karen Nathalia Riveros Schulz,21.0,170.0,66.0,PAR,2016,Rio de Janeiro,no medal,2,2
201417,Shoshana Rivner,18.0,171.32436260623228,61.75478645066274,ISR,1956,Melbourne,no medal,1,1
201489,Gail Rizzo,17.0,171.32436260623228,61.75478645066274,MLT,1996,Atlanta,no medal,1,1
201694,"Judith Theresa ""Judy"" Roberts (-Thomas)",18.0,171.32436260623228,61.75478645066274,USA,1952,Helsinki,no medal,1,1
201743,Susan Elizabeth Roberts,17.0,171.32436260623228,61.75478645066274,RSA,1956,Melbourne,no medal,1,1
201819,Karen Robertson,14.0,162.0,50.0,HKG,1976,Montreal,no medal,1,1
201916,Monique Rachelle Robins,16.0,171.0,54.0,NZL,2000,Sydney,no medal,1,1
202253,Anneliese Rockenbach,17.0,169.0,66.0,VEN,1960,Roma,no medal,2,1
202255,Anneliese Rockenbach,21.0,169.0,66.0,VEN,1964,Tokyo,no medal,2,2
