,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
265255,"Ronald Paul ""Ronny"" Yeager",23.0,181.0,70.0,USA,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,2,2
265256,"Ronald Paul ""Ronny"" Yeager",23.0,181.0,70.0,USA,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,2,2
265282,Vladimir Vasilyevich Yefimov,38.0,184.0,88.0,RUS,1994,Lillehammer,Bobsleigh,Bobsleigh Men's Two,no medal,2,2
265307,Artur Yeghoyan,23.0,180.0,83.0,ARM,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,no medal,1,1
265325,Filipp Yevgenyevich Yegorov,23.0,182.0,90.0,RUS,2002,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,no medal,3,1
265326,Filipp Yevgenyevich Yegorov,27.0,182.0,90.0,RUS,2006,Torino,Bobsleigh,Bobsleigh Men's Four,Silver,3,2
265327,Filipp Yevgenyevich Yegorov,31.0,182.0,90.0,RUS,2010,Vancouver,Bobsleigh,Bobsleigh Men's Four,no medal,3,3
265411,Semyon Andreyevich Yelistratov,19.0,175.0,70.0,RUS,2010,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,no medal,2,1
265412,Semyon Andreyevich Yelistratov,19.0,175.0,70.0,RUS,2010,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",no medal,2,1
265413,Semyon Andreyevich Yelistratov,19.0,175.0,70.0,RUS,2010,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",no medal,2,1
265414,Semyon Andreyevich Yelistratov,23.0,175.0,70.0,RUS,2014,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,no medal,2,2
265415,Semyon Andreyevich Yelistratov,23.0,175.0,70.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",no medal,2,2
265416,Semyon Andreyevich Yelistratov,23.0,175.0,70.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",no medal,2,2
265417,Semyon Andreyevich Yelistratov,23.0,175.0,70.0,RUS,2014,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,2,2
265447,Aleksey Vyacheslavovich Yemelin,27.0,186.0,101.0,RUS,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265519,Yeo Sang-Yeop,17.0,170.0,65.0,KOR,2002,Salt Lake City,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,1
265520,Yeo Sang-Yeop,21.0,170.0,65.0,KOR,2006,Torino,Speed Skating,"Speed Skating Men's 5,000 metres",no medal,2,2
265545,Vitaly Mikhaylovich Yeremeyev,22.0,186.0,78.0,KAZ,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,1
265546,Vitaly Mikhaylovich Yeremeyev,30.0,186.0,78.0,KAZ,2006,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,2
265559,Sergey Anatolyevich Yerkovich,23.0,185.0,94.0,BLR,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265611,Dmitry Yeryomenko,25.0,165.0,64.0,KAZ,2006,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,1,1
265612,Dmitry Yeryomenko,25.0,165.0,64.0,KAZ,2006,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,no medal,1,1
265613,Dmitry Yeryomenko,25.0,165.0,64.0,KAZ,2006,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,1,1
265631,Aleksey Yuryevich Yesin,22.0,181.0,80.0,RUS,2010,Vancouver,Speed Skating,"Speed Skating Men's 1,000 metres",no medal,2,1
265632,Aleksey Yuryevich Yesin,22.0,181.0,80.0,RUS,2010,Vancouver,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,1
265633,Aleksey Yuryevich Yesin,26.0,181.0,80.0,RUS,2014,Sochi,Speed Skating,Speed Skating Men's 500 metres,no medal,2,2
265634,Aleksey Yuryevich Yesin,26.0,181.0,80.0,RUS,2014,Sochi,Speed Skating,"Speed Skating Men's 1,000 metres",no medal,2,2
265635,Aleksey Yuryevich Yesin,26.0,181.0,80.0,RUS,2014,Sochi,Speed Skating,"Speed Skating Men's 1,500 metres",no medal,2,2
265636,Aleksey Yuryevich Yesin,26.0,181.0,80.0,RUS,2014,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),no medal,2,2
265641,Mikhail Viktorovich Yesin,26.0,179.0,60.0,RUS,1994,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,3,3
265642,Mikhail Viktorovich Yesin,26.0,179.0,60.0,RUS,1994,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",no medal,3,3
265643,Mikhail Viktorovich Yesin,26.0,179.0,60.0,RUS,1994,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",no medal,3,3
265695,Georgy Vitalyevich Yevtyukhin,23.0,184.0,87.0,RUS,1994,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265709,Torbjrn Yggeseth,25.0,176.00932400932402,65.86633663366337,NOR,1960,Squaw Valley,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,1
265710,Torbjrn Yggeseth,29.0,176.00932400932402,65.86633663366337,NOR,1964,Innsbruck,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,2
265711,Torbjrn Yggeseth,29.0,176.53733333333332,65.64199192462988,NOR,1964,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",no medal,2,2
265737,Mehmet Yldrm,19.0,162.0,60.0,TUR,1968,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,no medal,1,1
265738,Mehmet Yldrm,19.0,162.0,60.0,TUR,1968,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,1,1
265739,Mehmet Yldrm,19.0,162.0,60.0,TUR,1968,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,no medal,1,1
265740,Mithat Yldrm,26.0,178.83665338645417,72.38247011952191,TUR,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,1
265741,Mithat Yldrm,28.0,178.83665338645417,72.38247011952191,TUR,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,2
265752,Abdullah Ylmaz,26.0,180.0,75.0,TUR,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,2,1
265753,Abdullah Ylmaz,26.0,180.0,75.0,TUR,1988,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,2,1
265754,Abdullah Ylmaz,30.0,180.0,75.0,TUR,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,no medal,2,2
265755,Bahri Ylmaz,20.0,177.39880952380952,71.22858866103739,TUR,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,no medal,1,1
265756,Bahri Ylmaz,20.0,177.1537376586742,71.12250712250712,TUR,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,no medal,1,1
265757,Bahri Ylmaz,20.0,177.6264367816092,71.49417249417249,TUR,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,1,1
265791,Ying Zhenshan,23.0,178.3889490790899,72.43579978237214,CHN,1980,Lake Placid,Biathlon,Biathlon Men's 20 kilometres,no medal,1,1
265792,Ying Zhenshan,23.0,178.59610705596108,72.40975609756097,CHN,1980,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,no medal,1,1
265805,Jan Jelle Ykema,20.0,181.0,79.0,NED,1984,Sarajevo,Speed Skating,Speed Skating Men's 500 metres,no medal,2,1
265806,Jan Jelle Ykema,20.0,181.0,79.0,NED,1984,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",no medal,2,1
265807,Jan Jelle Ykema,24.0,181.0,79.0,NED,1988,Calgary,Speed Skating,Speed Skating Men's 500 metres,Silver,2,2
265808,Jan Jelle Ykema,24.0,181.0,79.0,NED,1988,Calgary,Speed Skating,"Speed Skating Men's 1,000 metres",no medal,2,2
265825,Kari Sakari Ylianttila,18.0,178.0,66.0,FIN,1972,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,1
265826,Kari Sakari Ylianttila,18.0,178.0,66.0,FIN,1972,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",no medal,2,1
265827,Kari Sakari Ylianttila,26.0,178.0,66.0,FIN,1980,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,2
265828,Kari Sakari Ylianttila,26.0,178.0,66.0,FIN,1980,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",no medal,2,2
265831,Jukka Petteri Ylipulli,21.0,176.0,67.0,FIN,1984,Sarajevo,Nordic Combined,Nordic Combined Men's Individual,Bronze,2,1
265832,Jukka Petteri Ylipulli,25.0,176.0,67.0,FIN,1988,Calgary,Nordic Combined,Nordic Combined Men's Team,no medal,2,2
265833,Jukka Petteri Ylipulli,25.0,176.0,67.0,FIN,1988,Calgary,Nordic Combined,Nordic Combined Men's Individual,no medal,2,2
265834,Raimo Esko Tapio Ylipulli,23.0,177.0,64.5,FIN,1994,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",no medal,1,1
265835,Raimo Esko Tapio Ylipulli,23.0,177.0,64.5,FIN,1994,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",no medal,1,1
265836,Tuomo Sakari Ylipulli,22.0,179.0,65.5,FIN,1988,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold,1,1
265838,Juha Petteri Ylnen,25.0,185.0,84.0,FIN,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,2,1
265839,Juha Petteri Ylnen,29.0,185.0,84.0,FIN,2002,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,2
265840,Petri Ylnen,29.0,190.0,90.0,FRA,1992,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,1
265841,Petri Ylnen,31.0,190.0,90.0,FRA,1994,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,2
265853,Urpo Yrj Juhani Ylnen,24.0,178.0,74.0,FIN,1968,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,1
265854,Urpo Yrj Juhani Ylnen,32.0,178.0,74.0,FIN,1976,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,2,2
265866,Martin Laumann Ylven,21.0,190.0,92.0,NOR,2010,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,no medal,1,1
265985,Borislav Yordanov,27.0,180.1439393939394,83.73724489795919,BUL,1936,Garmisch-Partenkirchen,Alpine Skiing,Alpine Skiing Men's Combined,no medal,1,1
266056,"Michael Allan ""Mike"" York",24.0,178.0,84.0,USA,2002,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,1,1
266084,Keishin Yoshida,27.0,175.0,74.0,JPN,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,no medal,1,1
266096,Rikio Yoshida,20.0,162.0,57.0,JPN,1960,Squaw Valley,Nordic Combined,Nordic Combined Men's Individual,no medal,1,1
266137,Hajime Yoshimura,29.0,166.0,59.0,JPN,1968,Grenoble,Biathlon,Biathlon Men's 20 kilometres,no medal,1,1
266138,Hajime Yoshimura,29.0,166.0,59.0,JPN,1968,Grenoble,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,no medal,1,1
266148,Daisuke Yoshioka,26.0,175.0,75.0,JPN,2006,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,no medal,1,1
266158,Hiroshi Yoshizawa,20.0,174.0,70.0,JPN,1952,Oslo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,1
266159,Hiroshi Yoshizawa,24.0,174.0,70.0,JPN,1956,Cortina d'Ampezzo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",no medal,2,2
266160,Hiroshi Yoshizawa,24.0,174.0,70.0,JPN,1956,Cortina d'Ampezzo,Nordic Combined,Nordic Combined Men's Individual,no medal,2,2
266161,Jumpei Yoshizawa,24.0,170.0,64.0,JPN,2010,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,no medal,1,1
266162,Jumpei Yoshizawa,24.0,170.0,64.0,JPN,2010,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",no medal,1,1
