,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
19374,Macarena Benvenuto Gutirrez,17.0,162.0,56.0,CHI,2006,Torino,Alpine Skiing,Alpine Skiing Women's Super G,no medal,1,1
19398,Laura Benz,17.0,172.0,63.0,SUI,2010,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,no medal,2,1
19399,Laura Benz,21.0,172.0,63.0,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,2,2
19400,Sara Benz,17.0,163.0,55.0,SUI,2010,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,no medal,2,1
19401,Sara Benz,21.0,163.0,55.0,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,2,2
19438,Kateina Bernkov,20.0,160.0,49.0,CZE,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
19439,Kateina Bernkov,24.0,160.0,49.0,CZE,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
19479,Manuela Berchtold,24.0,164.0,58.0,AUS,2002,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,no medal,2,1
19480,Manuela Berchtold,28.0,164.0,58.0,AUS,2006,Torino,Freestyle Skiing,Freestyle Skiing Women's Moguls,no medal,2,2
19542,Anna Berecz,21.0,174.0,73.0,HUN,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,2,1
19543,Anna Berecz,21.0,174.0,73.0,HUN,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Super G,no medal,2,1
19544,Anna Berecz,21.0,174.0,73.0,HUN,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,2,1
19545,Anna Berecz,21.0,174.0,73.0,HUN,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,2,1
19546,Anna Berecz,21.0,174.0,73.0,HUN,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined,no medal,2,1
19547,Anna Berecz,25.0,174.0,73.0,HUN,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,2,2
19548,Anna Berecz,25.0,174.0,73.0,HUN,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,no medal,2,2
19549,Anna Berecz,25.0,174.0,73.0,HUN,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,2,2
19550,Anna Berecz,25.0,174.0,73.0,HUN,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,2,2
19551,Anna Berecz,25.0,174.0,73.0,HUN,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,no medal,2,2
19556,Brigitta Bereczki,25.0,173.0,58.0,HUN,1992,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,2,1
19557,Brigitta Bereczki,25.0,173.0,58.0,HUN,1992,Albertville,Biathlon,Biathlon Women's 15 kilometres,no medal,2,1
19558,Brigitta Bereczki,25.0,173.0,58.0,HUN,1992,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,no medal,2,1
19559,Brigitta Bereczki,27.0,173.0,58.0,HUN,1994,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,2,2
19560,Brigitta Bereczki,27.0,173.0,58.0,HUN,1994,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,no medal,2,2
19561,Brigitta Bereczki,27.0,173.0,58.0,HUN,1994,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,no medal,2,2
19633,Yelena Viktorovna Berezhnaya,16.0,154.0,42.0,LAT,1994,Lillehammer,Figure Skating,Figure Skating Mixed Pairs,no medal,3,1
19634,Yelena Viktorovna Berezhnaya,20.0,154.0,42.0,RUS,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,Silver,3,2
19635,Yelena Viktorovna Berezhnaya,24.0,154.0,42.0,RUS,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,Gold,3,3
19653,Barbara Berezowski (-Ivan),21.0,163.91747572815535,51.01052631578948,CAN,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
19685,Kristin Inger Berg,25.0,157.0,56.0,CAN,1994,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,no medal,2,1
19686,Kristin Inger Berg,25.0,157.0,56.0,CAN,1994,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,no medal,2,1
19687,Kristin Inger Berg,29.0,157.0,56.0,CAN,1998,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,no medal,2,2
19771,Anne Ragna Berge,26.0,167.97520661157026,64.59166666666667,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Women's Super G,no medal,1,1
19772,Anne Ragna Berge,26.0,166.35752688172042,61.264021887824896,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
19773,Anne Ragna Berge,26.0,167.17142857142858,61.881379310344826,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
19774,Anne Ragna Berge,26.0,168.6690909090909,65.13186813186813,NOR,1992,Albertville,Alpine Skiing,Alpine Skiing Women's Combined,no medal,1,1
19857,Tora Berger (-Tveldal),24.0,166.0,56.0,NOR,2006,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,3,1
19858,Tora Berger (-Tveldal),24.0,166.0,56.0,NOR,2006,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,no medal,3,1
19859,Tora Berger (-Tveldal),24.0,166.0,56.0,NOR,2006,Torino,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,no medal,3,1
19860,Tora Berger (-Tveldal),24.0,166.0,56.0,NOR,2006,Torino,Biathlon,Biathlon Women's 15 kilometres,no medal,3,1
19861,Tora Berger (-Tveldal),24.0,166.0,56.0,NOR,2006,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,no medal,3,1
19862,Tora Berger (-Tveldal),28.0,166.0,56.0,NOR,2010,Vancouver,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,3,2
19863,Tora Berger (-Tveldal),28.0,166.0,56.0,NOR,2010,Vancouver,Biathlon,Biathlon Women's 10 kilometres Pursuit,no medal,3,2
19864,Tora Berger (-Tveldal),28.0,166.0,56.0,NOR,2010,Vancouver,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,no medal,3,2
19865,Tora Berger (-Tveldal),28.0,166.0,56.0,NOR,2010,Vancouver,Biathlon,Biathlon Women's 15 kilometres,Gold,3,2
19866,Tora Berger (-Tveldal),28.0,166.0,56.0,NOR,2010,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,no medal,3,2
19867,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,3,3
19868,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold,3,3
19869,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,Silver,3,3
19870,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,no medal,3,3
19871,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Women's 15 kilometres,no medal,3,3
19872,Tora Berger (-Tveldal),32.0,166.0,56.0,NOR,2014,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze,3,3
19876,Marielle Berger Sabbatel,24.0,161.0,63.0,FRA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,no medal,1,1
