,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
64404,Erik Lester Eriksson,21.0,191.0,85.0,SWE,1964,Tokyo,no medal,2,1
64406,Erik Lester Eriksson,25.0,191.0,85.0,SWE,1968,Mexico City,no medal,2,2
64681,Jorge Escalante Larrauri,20.0,171.0,71.0,MEX,1960,Roma,no medal,1,1
64698,Ignacio Escamilla,30.0,183.0,68.0,MEX,1988,Seoul,no medal,1,1
64825,Hakan Eskiolu,17.0,190.0,78.0,TUR,1988,Seoul,no medal,1,1
64919,Jos Miguel Espinosa Abando,18.0,178.0,75.0,ESP,1964,Tokyo,no medal,1,1
65129,Ramiro Estrada,22.0,169.0,72.0,MEX,1984,Los Angeles,no medal,1,1
65879,Sergio Jorge Fafitine,19.0,175.0,79.37983587338805,MOZ,1988,Seoul,no medal,2,1
66493,Ahmad Faraj,22.0,167.0,60.0,UAE,1988,Seoul,no medal,2,1
66499,Ahmad Faraj,26.0,167.0,60.0,UAE,1992,Barcelona,no medal,2,2
66562,Babak Farhoudi,18.0,185.0,70.0,IRI,2004,Athina,no medal,1,1
67718,Feng Qiangbiao,23.0,177.0,72.0,CHN,1988,Seoul,no medal,1,1
67886,Garvin Ferguson,20.0,185.30803571428572,79.37983587338805,BAH,1988,Seoul,no medal,1,1
68361,Lyndon Ferns,24.0,187.0,87.0,RSA,2008,Beijing,no medal,2,2
68382,Jos Antonio Ferracuti,21.505691056910567,185.30803571428572,79.37983587338805,ESA,1972,Munich,no medal,1,1
68405,Jos Ferraioli,20.0,180.0,77.0,PUR,1968,Mexico City,no medal,1,1
68434,Fabin Ferrari,19.0,181.0,71.0,ARG,1984,Los Angeles,no medal,1,1
68529,Geoffrey Ferreira,18.0,180.0,85.0,TTO,1968,Mexico City,no medal,2,1
68530,Geoffrey Ferreira,22.0,180.0,85.0,TTO,1972,Munich,no medal,2,2
68849,Fernand Feyaerts,21.505691056910567,185.30803571428572,79.37983587338805,BEL,1908,London,no medal,2,2
68866,"Mostyn Yanto ""Mickey"" Ffrench-Williams",17.0,178.0,79.37983587338805,GBR,1932,Los Angeles,no medal,2,1
68868,"Mostyn Yanto ""Mickey"" Ffrench-Williams",21.0,178.0,79.37983587338805,GBR,1936,Berlin,no medal,2,2
68882,Gregorio Fiallo Salazarte,16.0,178.0,79.0,CUB,1968,Mexico City,no medal,1,1
68895,"Michael Wenham ""Mike"" Fibbens",24.0,196.0,86.0,GBR,1992,Barcelona,no medal,3,2
68925,Peter Joseph Fick,22.0,185.30803571428572,79.37983587338805,USA,1936,Berlin,no medal,1,1
69186,nsal Fikirci,20.0,170.0,70.0,TUR,1960,Roma,no medal,1,1
69439,Glen Finch,21.0,178.0,77.0,CAN,1968,Mexico City,no medal,1,1
69716,Helmut Paul Wilhelm Fischer,25.0,185.30803571428572,79.37983587338805,GER,1936,Berlin,no medal,1,1
70706,Hans Foerster,23.0,191.0,85.0,ISV,1988,Seoul,no medal,1,1
70951,Fong Seow Jit,18.0,169.0,66.0,MAL,1960,Roma,no medal,1,1
70974,Mauri Fernandes Fonseca,23.0,185.30803571428572,79.37983587338805,BRA,1964,Tokyo,no medal,1,1
71128,Alan Robert Ford,24.0,175.0,77.0,USA,1948,London,Silver,1,1
71143,Dennis George Ford,21.0,191.0,79.37983587338805,RSA,1952,Helsinki,no medal,2,1
71147,Dennis George Ford,25.0,191.0,79.37983587338805,RSA,1956,Melbourne,no medal,2,2
71408,Emanuel Nascimento Fortes,18.0,182.0,71.0,BRA,1988,Seoul,no medal,2,1
71413,Emanuel Nascimento Fortes,21.0,182.0,71.0,BRA,1992,Barcelona,no medal,2,2
71576,Robert Bagley Foster,17.0,185.30803571428572,79.37983587338805,USA,1908,London,no medal,1,1
72014,Raffaele Franceschi,20.0,190.0,79.0,ITA,1980,Moskva,no medal,2,1
72406,Brett Micheal Fraser,22.0,188.0,82.0,CAY,2012,London,no medal,2,2
72461,Shaune David Fraser,20.0,188.0,88.0,CAY,2008,Beijing,no medal,3,2
72464,Shaune David Fraser,24.0,188.0,88.0,CAY,2012,London,no medal,3,3
72497,Agostino Frassinetti,21.505691056910567,185.30803571428572,79.37983587338805,ITA,1920,Antwerpen,no medal,2,1
73395,Lars Arne Frlander,22.0,184.0,83.0,SWE,1996,Atlanta,no medal,6,2
73399,Lars Arne Frlander,26.0,184.0,83.0,SWE,2000,Sydney,no medal,6,3
73807,Tatsuo Fujimoto,24.0,176.0,62.0,JPN,1964,Tokyo,no medal,2,2
74304,"Christopher John ""Chris"" Fydler",19.0,197.0,91.0,AUS,1992,Barcelona,no medal,3,1
74308,"Christopher John ""Chris"" Fydler",23.0,197.0,91.0,AUS,1996,Atlanta,no medal,3,2
74311,"Christopher John ""Chris"" Fydler",27.0,197.0,91.0,AUS,2000,Sydney,no medal,3,3
74318,Lakis Fylaktou,16.0,182.0,72.0,CYP,1980,Moskva,no medal,1,1
74422,Antal Gborfi (Gremsperger-),21.505691056910567,185.30803571428572,79.37983587338805,HUN,1928,Amsterdam,no medal,1,1
74445,"Romund ""Rom"" Gabrielsen",19.0,185.30803571428572,79.37983587338805,GBR,1936,Berlin,no medal,1,1
74722,"Ambrose ""Rowdy"" Gaines, IV",25.0,185.0,73.0,USA,1984,Los Angeles,Gold,1,1
74938,Christian Galenda,26.0,180.0,81.0,ITA,2008,Beijing,no medal,2,2
75346,ngelo Gammaro,24.0,185.30803571428572,79.37983587338805,BRA,1920,Antwerpen,no medal,1,1
75373,Ganaagiin Galbadrakh,26.0,178.0,75.0,MGL,2000,Sydney,no medal,1,1
76001,Hanser Garca Hernndez,23.0,185.30803571428572,79.37983587338805,CUB,2012,London,no medal,1,1
76238,Ral Garca Vidal,18.0,185.30803571428572,79.37983587338805,CUB,1948,London,no medal,1,1
76672,Finnur Gararsson,20.0,189.0,80.0,ISL,1972,Munich,no medal,1,1
78023,Stefan Georgiev,20.0,185.30803571428572,79.37983587338805,BUL,1976,Montreal,no medal,1,1
78637,Ammaar Shabbir Ghadiyali,15.0,164.0,55.0,TAN,2012,London,no medal,1,1
79085,"Cameron Michael ""Cam"" Gibson",21.0,199.0,85.0,NZL,2004,Athina,no medal,2,1
79311,"John Alexander ""Sandy"" Gilchrist",18.0,183.0,79.0,CAN,1964,Tokyo,no medal,2,1
79318,"John Alexander ""Sandy"" Gilchrist",22.0,183.0,79.0,CAN,1968,Mexico City,no medal,2,2
79550,Fabien Pierre Aurlien Dominique Gilot,24.0,193.0,85.0,FRA,2008,Beijing,no medal,4,2
79553,Fabien Pierre Aurlien Dominique Gilot,28.0,193.0,85.0,FRA,2012,London,no medal,4,3
79570,Rolandas Gimbutis,19.0,209.0,112.0,LTU,2000,Sydney,no medal,3,1
79573,Rolandas Gimbutis,23.0,209.0,112.0,LTU,2004,Athina,no medal,3,2
79968,Gudmunur Gslason,19.0,178.0,68.0,ISL,1960,Roma,no medal,4,1
79969,Gudmunur Gslason,23.0,178.0,68.0,ISL,1964,Tokyo,no medal,4,2
79971,Gudmunur Gslason,27.0,178.0,68.0,ISL,1968,Mexico City,no medal,4,3
80079,Georgios Giziotis,23.0,185.30803571428572,79.37983587338805,GRE,1996,Atlanta,no medal,1,1
80268,George Gleason,21.0,198.0,100.0,ISV,2000,Sydney,no medal,2,1
80271,George Gleason,25.0,198.0,100.0,ISV,2004,Athina,no medal,2,2
80318,Roberto Gleria,19.0,193.0,87.0,ITA,1988,Seoul,no medal,2,1
80324,Roberto Gleria,23.0,193.0,87.0,ITA,1992,Barcelona,no medal,2,2
80550,Go Un-Ho,17.0,185.30803571428572,79.37983587338805,KOR,1996,Atlanta,no medal,1,1
80909,Janko Gojkovi,23.0,185.30803571428572,79.37983587338805,BIH,1996,Atlanta,no medal,3,2
81141,Kristian Golomeev,19.0,202.0,95.0,GRE,2012,London,no medal,2,1
81143,Kristian Golomeev,23.0,202.0,95.0,GRE,2016,Rio de Janeiro,no medal,2,2
81146,Tsvetan Golomeev,18.0,195.0,86.0,BUL,1980,Moskva,no medal,2,1
81151,Tsvetan Golomeev,27.0,195.0,86.0,BUL,1988,Seoul,no medal,2,2
81768,Fernando Gonzlez,18.0,185.0,74.0,ECU,1968,Mexico City,no medal,1,1
81866,Jos Gonzlez Esplugas,21.0,185.30803571428572,79.37983587338805,ESP,1928,Amsterdam,no medal,1,1
81994,Johnson Ricardo Gonzlez Johnson,21.0,183.0,83.0,COL,1968,Mexico City,no medal,1,1
82003,Rodrigo Gonzlez Sesma,20.0,190.0,83.0,MEX,1988,Seoul,no medal,2,1
82010,Rodrigo Gonzlez Sesma,24.0,190.0,83.0,MEX,1992,Barcelona,no medal,2,2
82126,Gary Goodner,17.0,182.0,75.0,PUR,1968,Mexico City,no medal,1,1
82133,Michael Goodner,15.0,180.0,69.0,PUR,1968,Mexico City,no medal,1,1
82174,Guy Goosen,21.0,183.0,86.0,ZIM,1980,Moskva,no medal,1,1
82219,Ronald Francis Gora,19.0,185.30803571428572,79.37983587338805,USA,1952,Helsinki,no medal,1,1
82278,"Adn Gordn, Jr.",22.0,185.30803571428572,79.37983587338805,PAN,1928,Amsterdam,no medal,1,1
82593,"Donald Alexander ""Sandy"" Goss",21.0,193.0,89.0,CAN,1988,Seoul,no medal,2,2
82665,Tadaharu Goto,22.0,182.0,72.0,JPN,1964,Tokyo,no medal,1,1
82668,Toru Goto,18.0,185.30803571428572,79.37983587338805,JPN,1952,Helsinki,no medal,1,1
82710,Alain Gottvalls,18.0,185.0,80.0,FRA,1960,Roma,no medal,2,1
82712,Alain Gottvalls,22.0,185.0,80.0,FRA,1964,Tokyo,no medal,2,2
83012,Federico Grabich,26.0,193.0,92.0,ARG,2016,Rio de Janeiro,no medal,2,2
83401,Yoris Grandjean,19.0,186.0,72.0,BEL,2008,Beijing,no medal,1,1
83777,Andrey Vladimirovich Grechin,20.0,199.0,99.0,RUS,2008,Beijing,no medal,3,1
83783,Andrey Vladimirovich Grechin,28.0,199.0,99.0,RUS,2016,Rio de Janeiro,no medal,3,3
83990,Joel Greenshields,20.0,193.0,80.0,CAN,2008,Beijing,no medal,1,1
84512,Aristidis Grigoriadis,18.0,196.0,76.0,GRE,2004,Athina,no medal,3,1
84515,Aristidis Grigoriadis,22.0,196.0,76.0,GRE,2008,Beijing,no medal,3,2
84835,Alfred Grixti,17.0,167.0,63.0,MLT,1960,Roma,no medal,1,1
84895,dn Grf,21.0,185.30803571428572,79.37983587338805,HUN,1936,Berlin,no medal,1,1
85017,Grard Gropaiz,17.0,183.0,66.0,FRA,1960,Roma,no medal,2,1
85019,Grard Gropaiz,21.0,183.0,66.0,FRA,1964,Tokyo,no medal,2,2
85220,"Robert Cameron Lundy ""Cam"" Grout",20.0,179.0,79.0,CAN,1960,Roma,no medal,1,1
85391,Bernard Gruener,19.0,178.0,74.0,FRA,1968,Mexico City,no medal,1,1
85508,Nicolas Gruson,21.0,188.0,76.0,FRA,1996,Atlanta,no medal,1,1
85723,Marcello Guarducci,20.0,185.0,72.0,ITA,1976,Montreal,no medal,3,2
85961,Manuel Guerra Prez,20.0,185.30803571428572,79.37983587338805,ESP,1948,London,no medal,1,1
86315,Plauto de Barros Guimares,21.505691056910567,185.30803571428572,79.37983587338805,BRA,1948,London,no medal,1,1
86456,Jzsef Gulrich,22.0,180.0,80.0,HUN,1964,Tokyo,no medal,1,1
86583,Sean Michael Gunn,22.0,181.0,84.0,ZIM,2016,Rio de Janeiro,no medal,1,1
86754,Kemal Arda Grdal,22.0,180.0,77.0,TUR,2012,London,no medal,1,1
86806,Sirish Gurung,17.0,158.0,65.0,NEP,2016,Rio de Janeiro,no medal,1,1
87211,Octavian Guu,22.0,196.0,86.0,MDA,2004,Athina,no medal,1,1
87312,Manuel Guzmn Flores,18.0,185.30803571428572,79.37983587338805,PUR,1988,Seoul,no medal,2,1
87353,Ari Fribjrn Gumundsson,20.0,185.30803571428572,79.37983587338805,ISL,1948,London,no medal,2,1
87427,Gwon Sang-Won,19.0,178.0,72.0,KOR,1988,Seoul,no medal,1,1
87850,Robel Kiros Habte,24.0,176.0,81.0,ETH,2016,Rio de Janeiro,no medal,1,1
88455,Alfrd (Arnold-) Hajs (Guttmann-),18.0,185.30803571428572,79.37983587338805,HUN,1896,Athina,Gold,4,1
88488,Henrik Hajs (Guttmann-),21.0,185.30803571428572,79.37983587338805,HUN,1908,London,no medal,2,2
88718,Mohamed Halimi,22.0,173.0,65.0,ALG,1980,Moskva,no medal,1,1
88820,"Gary Wayne Hall, Jr.",21.0,198.0,99.0,USA,1996,Atlanta,Silver,3,1
88824,"Gary Wayne Hall, Jr.",25.0,198.0,99.0,USA,2000,Sydney,Bronze,3,2
88894,"David Joseph George ""Dave"" Haller",19.0,184.0,79.0,GBR,1964,Tokyo,no medal,1,1
88958,Robert Halloran,21.505691056910567,185.30803571428572,79.37983587338805,CAN,1932,Los Angeles,no medal,1,1
89013,"Daniel ""Dano"" Halsall",21.0,190.0,90.0,SUI,1984,Los Angeles,no medal,3,1
89018,"Daniel ""Dano"" Halsall",25.0,190.0,90.0,SUI,1988,Seoul,no medal,3,2
89124,Yoshihiro Hamaguchi,26.0,183.0,78.0,JPN,1952,Helsinki,no medal,1,1
89151,Tuomo Juhani Hmlinen,19.0,187.0,83.0,FIN,1964,Tokyo,no medal,1,1
89281,"Robert Williams ""Bob"" Hamerton",25.0,185.30803571428572,79.37983587338805,CAN,1936,Berlin,no medal,1,1
89982,"Richard Dennis ""Dick"" Hanley",20.0,183.0,79.0,USA,1956,Melbourne,no medal,1,1
90714,Jere Johannes Hrd,21.0,185.0,83.0,FIN,2000,Sydney,no medal,2,1
90798,Harold Hampton Hardwick,23.0,185.30803571428572,79.37983587338805,ANZ,1912,Stockholm,no medal,1,1
91073,"William White ""Bill"" Harris, Jr.",22.0,185.30803571428572,79.37983587338805,USA,1920,Antwerpen,Bronze,1,1
91199,Trevor James Harrop,21.0,185.30803571428572,79.37983587338805,GBR,1948,London,no medal,1,1
92194,Danil Haustov,23.0,182.0,85.0,EST,2004,Athina,no medal,2,1
92195,Danil Haustov,27.0,182.0,85.0,EST,2008,Beijing,no medal,2,2
92382,Harry Maitland Hay,21.505691056910567,178.0,79.37983587338805,AUS,1920,Antwerpen,no medal,1,1
92460,Brent Matthew Hayden,24.0,193.0,86.0,CAN,2008,Beijing,no medal,3,2
92466,Brent Matthew Hayden,28.0,193.0,86.0,CAN,2012,London,Bronze,3,3
92529,Terrence Elton Haynes,23.0,183.0,78.0,BAR,2008,Beijing,no medal,2,2
92694,Cecil Patrick Healy,24.0,185.30803571428572,79.37983587338805,AUS,1906,Athina,Bronze,2,1
92697,Cecil Patrick Healy,30.0,185.30803571428572,79.37983587338805,ANZ,1912,Stockholm,Silver,2,2
92764,"Michael Steward ""Mike"" Heath",20.0,183.0,77.0,USA,1984,Los Angeles,no medal,1,1
92808,Harry Joseph Hebner,16.0,180.0,79.37983587338805,USA,1908,London,no medal,3,1
92810,Harry Joseph Hebner,20.0,180.0,79.37983587338805,USA,1912,Stockholm,no medal,3,2
93159,Hermann Hans Heibel,24.0,185.30803571428572,79.37983587338805,GER,1936,Berlin,no medal,1,1
93207,"Jerme Alan ""Jerry"" Heidenreich",22.0,183.0,73.0,USA,1972,Munich,Silver,1,1
93442,Herbert Heinrich,28.0,185.30803571428572,79.37983587338805,GER,1928,Amsterdam,no medal,1,1
93528,August Heitmann,21.505691056910567,185.30803571428572,79.37983587338805,GER,1928,Amsterdam,no medal,1,1
93865,Adham Hemdan Yussuf,20.0,185.30803571428572,79.37983587338805,KUW,1980,Moskva,no medal,1,1
94254,"John Malcolm ""Jon"" Henricks",21.0,182.0,78.0,AUS,1956,Melbourne,Gold,2,1
94256,"John Malcolm ""Jon"" Henricks",25.0,182.0,78.0,AUS,1960,Roma,no medal,2,2
94319,George Ernest Morrison Henry,19.0,183.0,79.37983587338805,AUS,1924,Paris,no medal,1,1
94484,"William Sharp Hannah ""Billy"" Herald",19.0,185.30803571428572,79.37983587338805,AUS,1920,Antwerpen,no medal,1,1
94794,Alain Hermitte,23.0,180.0,73.0,FRA,1972,Munich,no medal,1,1
94905,Marcos Antonio Hernndez Rodrguez,21.0,174.0,73.0,CUB,2000,Sydney,no medal,2,1
95113,Colin David Herring,19.0,188.0,79.37983587338805,NZL,1972,Munich,no medal,1,1
95166,Otto Herschmann,19.0,185.30803571428572,79.37983587338805,AUT,1896,Athina,Silver,3,1
95625,Blair Hicken,19.0,184.0,69.0,CAN,1984,Los Angeles,no medal,1,1
95741,Heikki Johannes Hietanen,21.0,185.0,80.0,FIN,1936,Berlin,no medal,1,1
95801,Arthur Raymond Highland,24.0,185.30803571428572,79.37983587338805,USA,1936,Berlin,no medal,1,1
95822,Kozo Higuchi,20.0,185.30803571428572,79.37983587338805,JPN,1976,Montreal,no medal,1,1
96159,Howard Xavier Hinds,22.0,184.0,87.0,AHO,2000,Sydney,no medal,2,2
96804,"Benjamin Thomas ""Ben"" Hockin Brusquetti",25.0,195.0,90.0,PAR,2012,London,no medal,3,2
96807,"Benjamin Thomas ""Ben"" Hockin Brusquetti",29.0,195.0,90.0,PAR,2016,Rio de Janeiro,no medal,3,3
97074,Georg Hoffmann,21.505691056910567,185.30803571428572,79.37983587338805,GER,1906,Athina,no medal,2,2
97686,Poul Holm,19.0,185.30803571428572,79.37983587338805,DEN,1908,London,no medal,1,1
97782,Per Anders Gustaf Holmertz,20.0,185.0,75.0,SWE,1980,Moskva,Silver,1,1
98784,Bjrn Hornikel,24.0,192.0,91.0,GER,2016,Rio de Janeiro,no medal,1,1
99487,Paul Anthony Howe,27.0,183.0,81.0,GBR,1992,Barcelona,no medal,3,3
99534,Sidni Hoxha,20.0,193.0,86.0,ALB,2012,London,no medal,3,2
99987,Huang Chih-Yung,28.0,176.0,63.0,TPE,1996,Atlanta,no medal,2,1
100082,Huang Shaohua,20.0,188.0,83.0,CHN,2004,Athina,no medal,2,1
100996,Andrew Hunter,19.0,185.0,79.0,IRL,1972,Munich,no medal,1,1
101000,Richard Bruce Hunter,21.0,185.0,79.0,USA,1960,Roma,no medal,1,1
101248,Ahmed Husam,16.0,175.0,56.0,MDV,2012,London,no medal,1,1
101298,Israr Hussain,26.0,185.30803571428572,79.37983587338805,PAK,2012,London,no medal,1,1
101381,"Kenneth Arthur ""Ken"" Huszagh",20.0,185.30803571428572,79.37983587338805,USA,1912,Stockholm,Bronze,1,1
101421,Craig Hutchison,25.0,198.0,97.0,CAN,2000,Sydney,no medal,1,1
101459,Ralph Hutton,16.0,183.0,86.0,CAN,1964,Tokyo,no medal,3,1
102426,Pentti Olavi Ikonen,18.0,185.0,81.0,FIN,1952,Helsinki,no medal,1,1
102457,Salim Iles,21.0,188.0,88.0,ALG,1996,Atlanta,no medal,4,1
102460,Salim Iles,25.0,188.0,88.0,ALG,2000,Sydney,no medal,4,2
102462,Salim Iles,29.0,188.0,88.0,ALG,2004,Athina,no medal,4,3
102582,Gary Steven Ilman,21.0,188.0,89.0,USA,1964,Tokyo,no medal,1,1
102721,Im Nam-Gyun,21.0,182.0,68.0,KOR,2008,Beijing,no medal,1,1
102895,Ahmed Imthiyaz,28.0,185.30803571428572,79.37983587338805,MDV,1992,Barcelona,no medal,1,1
103128,George Innocent,22.0,185.30803571428572,79.37983587338805,GBR,1908,London,no medal,2,1
103401,Gyrgy Ipacs,19.0,185.30803571428572,79.37983587338805,HUN,1952,Helsinki,no medal,1,1
103563,Alberto Isaac Ahumada,25.0,185.0,71.0,MEX,1948,London,no medal,2,1
103565,Alberto Isaac Ahumada,29.0,185.0,71.0,MEX,1952,Helsinki,no medal,2,2
103671,Jos Isaza Chu,24.0,185.30803571428572,79.37983587338805,PAN,1996,Atlanta,no medal,1,1
103748,Katsuki Ishihara,21.0,166.0,66.0,JPN,1960,Roma,no medal,2,1
104145,Shunsuke Ito,20.0,184.0,76.0,JPN,1996,Atlanta,no medal,1,1
104226,Nicolae Ivan,21.0,185.30803571428572,79.37983587338805,ROU,1996,Atlanta,no medal,1,1
104643,Kunihiro Iwasaki,24.0,175.0,78.0,JPN,1968,Mexico City,no medal,2,2
105068,"Christopher Charles ""Chris"" Jacobs",23.0,185.0,82.0,USA,1988,Seoul,Silver,1,1
105162,Uwe Jacobsen,19.0,182.0,79.0,GER,1960,Roma,no medal,2,1
105164,Uwe Jacobsen,24.0,182.0,79.0,GER,1964,Tokyo,no medal,2,2
105198,Pieter Johannes Jacobszoon,20.0,185.30803571428572,79.37983587338805,NED,1924,Paris,no medal,1,1
105239,Fernando Jos Jcome Clavijo,20.0,180.0,70.0,COL,2000,Sydney,no medal,1,1
105793,"Andrew David ""Andy"" Jameson",23.0,190.0,79.0,GBR,1988,Seoul,no medal,2,2
106457,"Alexandre ""Alex"" Jany",19.0,187.0,107.0,FRA,1948,London,no medal,4,1
106460,"Alexandre ""Alex"" Jany",23.0,187.0,107.0,FRA,1952,Helsinki,no medal,4,2
106462,"Alexandre ""Alex"" Jany",27.0,187.0,107.0,FRA,1956,Melbourne,no medal,4,3
106753,"Anthony Andrew ""Tony"" Jarvis",23.0,191.0,76.0,GBR,1968,Mexico City,no medal,1,1
107453,Jean Jenni,21.505691056910567,185.30803571428572,79.37983587338805,SUI,1920,Antwerpen,no medal,1,1
109143,Carl August Hjalmar Johansson,32.0,170.0,76.0,SWE,1906,Athina,no medal,3,1
109234,Olle Ingvar Johansson,20.0,185.30803571428572,79.37983587338805,SWE,1948,London,no medal,2,1
109236,Olle Ingvar Johansson,24.0,185.30803571428572,79.37983587338805,SWE,1952,Helsinki,no medal,2,2
109248,Per Lennart Johansson,17.0,194.0,85.0,SWE,1980,Moskva,Bronze,3,1
109249,Per Lennart Johansson,21.0,194.0,85.0,SWE,1984,Los Angeles,Bronze,3,2
109253,Per Lennart Johansson,25.0,194.0,85.0,SWE,1988,Seoul,no medal,3,3
109398,John Haakon Johnsen,20.0,185.30803571428572,79.37983587338805,NOR,1912,Stockholm,no medal,1,1
110047,Cullen Andrew Jones,28.0,195.0,95.0,USA,2012,London,no medal,2,2
110383,Ingi r Jnsson,21.0,184.0,74.0,ISL,1984,Los Angeles,no medal,1,1
110713,Paul Henry Michel Jouanneau,17.0,185.30803571428572,79.37983587338805,BRA,1976,Montreal,no medal,1,1
111035,Eric Jubb,21.505691056910567,185.30803571428572,79.37983587338805,CAN,1948,London,no medal,1,1
111192,Sigfrid Harald Alexander Julin,16.0,185.30803571428572,79.37983587338805,SWE,1906,Athina,no medal,4,1
111195,Sigfrid Harald Alexander Julin,18.0,185.30803571428572,79.37983587338805,SWE,1908,London,Bronze,4,2
111198,Sigfrid Harald Alexander Julin,22.0,185.30803571428572,79.37983587338805,SWE,1912,Stockholm,no medal,4,3
111727,Gza Kdas,21.0,185.30803571428572,79.37983587338805,HUN,1948,London,Bronze,2,1
111730,Gza Kdas,25.0,185.30803571428572,79.37983587338805,HUN,1952,Helsinki,no medal,2,2
111792,Mahmoud Kadri,18.0,185.30803571428572,79.37983587338805,EGY,1936,Berlin,no medal,1,1
111889,Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,21.0,185.30803571428572,79.37983587338805,USA,1912,Stockholm,Gold,3,1
111892,Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,29.0,185.30803571428572,79.37983587338805,USA,1920,Antwerpen,Gold,3,2
111894,Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,33.0,185.30803571428572,79.37983587338805,USA,1924,Paris,Silver,3,3
111895,"Samuel Alapai ""Sam"" Kahanamoku",21.0,185.30803571428572,79.37983587338805,USA,1924,Paris,Bronze,1,1
112129,Nikola Kalabi,17.0,191.0,85.0,SCG,1996,Atlanta,no medal,2,1
112130,Nikola Kalabi,21.0,191.0,85.0,SCG,2000,Sydney,no medal,2,2
112211,Christophe Kalfayan,19.0,176.0,71.0,FRA,1988,Seoul,no medal,3,1
112214,Christophe Kalfayan,23.0,176.0,71.0,FRA,1992,Barcelona,no medal,3,2
112239,Manuella Kalili,19.0,185.30803571428572,79.37983587338805,USA,1932,Los Angeles,no medal,1,1
112444,Uvis Kalni,18.0,192.0,85.0,LAT,2012,London,no medal,2,1
112476,Ziv Kalontarov,19.0,185.0,70.0,ISR,2016,Rio de Janeiro,no medal,1,1
113003,Marijan Kanjer,22.0,196.0,96.0,CRO,1996,Atlanta,no medal,2,1
113048,Rami Kantari,21.0,176.0,72.0,LIB,1984,Los Angeles,no medal,2,1
113188,Mladen Kapor,25.0,185.30803571428572,79.37983587338805,IOA,1992,Barcelona,no medal,1,1
113218,Andrey Nikolayevich Kapralov,23.0,190.0,76.0,RUS,2004,Athina,no medal,3,2
113759,Jonas Klas Hkan Karlsson (-Gillman),22.0,185.30803571428572,79.37983587338805,SWE,1992,Barcelona,no medal,1,1
114394,"Robert A. ""Bob"" Kasting",21.0,189.0,80.0,CAN,1972,Munich,no medal,1,1
114419,Matti Juhani Kasvio,20.0,189.0,79.0,FIN,1964,Tokyo,no medal,1,1
114848,Tatsugo Kawaishi,20.0,185.30803571428572,79.37983587338805,JPN,1932,Los Angeles,Silver,1,1
114981,Karri Kalervo Kyhk,18.0,190.0,80.0,FIN,1956,Melbourne,no medal,2,1
114983,Karri Kalervo Kyhk,22.0,190.0,80.0,FIN,1960,Roma,no medal,2,2
115109,Pua Kele Kealoha,17.0,185.30803571428572,79.37983587338805,USA,1920,Antwerpen,Silver,1,1
115154,Nabil Kebbab,24.0,192.0,94.0,ALG,2008,Beijing,no medal,2,1
115155,Nabil Kebbab,28.0,192.0,94.0,ALG,2012,London,no medal,2,2
115840,"William Ernest ""Bill"" Kendall",21.505691056910567,178.0,79.37983587338805,AUS,1936,Berlin,no medal,1,1
115848,"Patrick Hume ""Pat"" Kendall",21.0,185.30803571428572,79.37983587338805,GBR,1948,London,no medal,1,1
115888,Johan Kenkhuis,20.0,185.0,73.0,NED,2000,Sydney,no medal,2,1
116027,Alajos Ferenc Kenyery (-Kronborg),19.0,185.30803571428572,79.37983587338805,HUN,1912,Stockholm,no medal,1,1
116603,Seddon George Keyter,21.0,185.30803571428572,79.37983587338805,RSA,1992,Barcelona,no medal,1,1
116651,Virdhawal Vikram Khade,16.0,191.0,83.0,IND,2008,Beijing,no medal,1,1
117008,Panagiotis Khatzikyriakakis,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1948,London,no medal,1,1
117165,Pavlo Viktorovych Khnykin,27.0,185.0,72.0,UKR,1996,Atlanta,no medal,4,2
117168,Pavlo Viktorovych Khnykin,31.0,185.0,72.0,UKR,2000,Sydney,no medal,4,3
117246,Efstathios Khorafas,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1896,Athina,no medal,1,1
117523,Alexandros Khrysafos,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1896,Athina,no medal,1,1
117710,Matthew Kidd,24.0,185.0,80.0,GBR,2004,Athina,no medal,1,1
118138,Kim Bong-Jo,18.0,173.0,70.0,KOR,1964,Tokyo,no medal,1,1
118843,Kim Min-Seok,21.0,182.0,75.0,KOR,2000,Sydney,no medal,2,2
119963,Keith Lindsay Hugh Kirkland,19.0,185.30803571428572,79.37983587338805,AUS,1920,Antwerpen,no medal,1,1
120173,Yuri Kisil,20.0,198.0,84.0,CAN,2016,Rio de Janeiro,no medal,1,1
120470,"Bartoomiej ""Bartosz"" Kizierowski",19.0,188.0,86.0,POL,1996,Atlanta,no medal,4,1
120473,"Bartoomiej ""Bartosz"" Kizierowski",23.0,188.0,86.0,POL,2000,Sydney,no medal,4,2
120794,Gustave Klein,26.0,178.0,80.0,FRA,1928,Amsterdam,no medal,2,2
120799,Hans-Joachim Klein,22.0,185.0,80.0,GER,1964,Tokyo,Bronze,2,2
