,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
238854,Onan Orlando Thom,20.0,188.0,86.0,GUY,2004,Athina,no medal,1,1
239206,Graham Lewis Thompson,24.0,190.0,82.0,ZIM,1988,Seoul,no medal,1,1
239292,"Raymond Webb Thompson, Jr.",21.0,185.30803571428572,79.37983587338805,USA,1932,Los Angeles,no medal,1,1
239620,Ian James Thorpe,21.0,196.0,104.0,AUS,2004,Athina,Bronze,2,2
240247,Pieter Timmers,24.0,200.0,89.0,BEL,2012,London,no medal,2,1
240250,Pieter Timmers,28.0,200.0,89.0,BEL,2016,Rio de Janeiro,Silver,2,2
240525,Vyacheslav Vladimirovich Titarenko,26.0,172.0,71.0,KAZ,2004,Athina,no medal,1,1
240620,Joris Willem Eelco Tjebbes,22.0,185.30803571428572,79.37983587338805,NED,1952,Helsinki,no medal,1,1
240720,T Vn V,23.0,170.0,66.0,VIE,1980,Moskva,no medal,1,1
241616,"Marcus Lyndon ""Mark"" Tonelli (Leembruggen-)",23.0,181.0,66.0,AUS,1980,Moskva,no medal,2,2
242111,Helder Omar Torres Quintana,17.0,185.30803571428572,79.37983587338805,GUA,1992,Barcelona,no medal,1,1
242165,Rodolfo Torres,21.505691056910567,185.30803571428572,79.37983587338805,HON,1984,Los Angeles,no medal,1,1
242807,Marcelo Armando Trabucco Forn,18.0,185.30803571428572,79.37983587338805,ARG,1952,Helsinki,no medal,1,1
242930,Norbert Trandafir,20.0,190.0,85.0,ROU,2008,Beijing,no medal,3,1
242933,Norbert Trandafir,24.0,190.0,85.0,ROU,2012,London,no medal,3,2
243039,Amiram Trauber,21.0,184.0,85.0,ISR,1960,Roma,no medal,1,1
243590,Christian-Alexander Trger,22.0,199.0,94.0,GER,1992,Barcelona,no medal,3,1
243593,Christian-Alexander Trger,26.0,199.0,94.0,GER,1996,Atlanta,no medal,3,2
243596,Christian-Alexander Trger,30.0,199.0,94.0,GER,2000,Sydney,no medal,3,3
243631,Nils Orvar Trolle,20.0,185.30803571428572,79.37983587338805,SWE,1920,Antwerpen,no medal,2,1
243633,Nils Orvar Trolle,24.0,185.30803571428572,79.37983587338805,SWE,1924,Paris,no medal,2,2
243802,Conrad Daniel Trubenbach,25.0,185.30803571428572,79.37983587338805,USA,1908,London,no medal,1,1
244481,Yevgeny Nikolayevich Tsurkin,21.0,182.0,77.0,BLR,2012,London,no medal,2,1
244482,Yevgeny Nikolayevich Tsurkin,25.0,182.0,77.0,BLR,2016,Rio de Janeiro,no medal,2,2
244544,Oleg Tsvetkovsky,26.0,178.0,76.0,UZB,1996,Atlanta,no medal,2,1
244959,Samuela Tupou,29.0,185.0,79.0,FIJ,1984,Los Angeles,no medal,1,1
245223,"Michael ""Mike"" Turner",20.0,173.0,70.0,GBR,1968,Mexico City,no medal,1,1
245491,Addin Tyldesley,21.505691056910567,185.30803571428572,79.37983587338805,GBR,1908,London,no medal,1,1
245636,Spyridon Tzetzos,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1906,Athina,no medal,1,1
245703,Masaren Uchida,22.0,185.30803571428572,79.37983587338805,JPN,1920,Antwerpen,no medal,1,1
246462,Francisco Uranga,21.505691056910567,185.30803571428572,79.37983587338805,ARG,1928,Amsterdam,no medal,1,1
247016,Hannu Pentti J. Vaahtoranta,21.0,178.0,76.0,FIN,1964,Tokyo,no medal,1,1
247460,Jos Valdes Balagoistoa,19.0,185.30803571428572,79.37983587338805,GUA,1952,Helsinki,no medal,1,1
247695,Mauno Kalervo Valkeinen,22.0,185.30803571428572,79.37983587338805,FIN,1952,Helsinki,no medal,1,1
248013,"Levinus Willem ""Vinus"" van Baalen",22.0,187.0,76.0,NED,1964,Tokyo,no medal,1,1
248018,Jorge van Balen,18.0,185.30803571428572,79.37983587338805,VEN,1972,Munich,no medal,1,1
248360,Pieter Cornelis Martijn van den Hoogenband,18.0,193.0,80.0,NED,1996,Atlanta,no medal,4,1
248366,Pieter Cornelis Martijn van den Hoogenband,22.0,193.0,80.0,NED,2000,Sydney,Gold,4,2
248371,Pieter Cornelis Martijn van den Hoogenband,26.0,193.0,80.0,NED,2004,Athina,Gold,4,3
248374,Pieter Cornelis Martijn van den Hoogenband,30.0,193.0,80.0,NED,2008,Beijing,no medal,4,4
