,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
69622,Peter Firstbrook,18.0,173.39762611275964,65.59163987138264,CAN,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
69651,Liam Firus,21.0,170.0,68.0,CAN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
70040,Allan Normann Fjeldheim,29.0,177.84100418410043,73.86238532110092,NOR,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
71557,Kenneth J. Foster,24.0,178.0829268292683,70.71122994652407,GBR,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
71615,Jerry Joseph Fotheringill,21.0,180.0,75.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
72290,Paul Franke,21.983436853002072,173.39762611275964,65.59163987138264,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
72419,Donald Fraser,20.0,177.84100418410043,73.86238532110092,CAN,1976,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
72985,Luigi Freroni,20.0,178.0829268292683,70.71122994652407,ITA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
74336,Vladimir Anatolyevich Fyodorov,22.0,185.0,80.0,RUS,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
74673,Didier Gailhaguet,19.0,174.0,66.0,FRA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
75588,Allan Ganter,17.0,173.39762611275964,65.59163987138264,AUS,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
