,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
136730,"Sandra J. ""Sandy"" Lenz (-Jackson)",19.0,161.31335149863762,51.11940298507463,USA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
136894,Alyona Igorevna Leonova,19.0,159.0,49.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
136963,Alma Lepina (Lce-),17.0,164.0,56.0,LAT,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
136964,Laura Anneli Lepist,21.0,163.0,52.0,FIN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
137027,Marie-Pierre Leray,18.0,160.0,40.0,FRA,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,1,1
137410,Mira Leung,16.0,168.0,51.11940298507463,CAN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,1,1
138037,Li Gyong-Ok,16.0,161.31335149863762,51.11940298507463,PRK,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
138562,Li Zijun,17.0,161.0,45.0,CHN,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
138629,Olena Anatolivna Liashenko,17.0,160.0,48.0,UKR,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,4,1
138630,Olena Anatolivna Liashenko,21.0,160.0,48.0,UKR,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,4,2
138631,Olena Anatolivna Liashenko,25.0,160.0,48.0,UKR,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,4,3
138632,Olena Anatolivna Liashenko,29.0,160.0,48.0,UKR,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,4,4
139713,Margit Catharina Lindgren,20.0,167.0,53.0,SWE,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
139827,va Lindner/Ladnyi (Sary-),21.0,161.31335149863762,51.11940298507463,HUN,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
139847,"Victoria Lindpaintner (-von Trring-Jettenbach, -Hantschel)",17.0,161.31335149863762,51.11940298507463,GER,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
140225,Tara Kristen Lipinski (-Kapostasy),15.0,147.0,36.0,USA,1998,Nagano,Figure Skating,Figure Skating Women's Singles,Gold,1,1
140226,Yuliya Vyacheslavovna Lipnitskaya,15.0,158.0,51.11940298507463,RUS,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
140492,Mary Cathaleen Littlejohn (-Adams),28.0,161.31335149863762,51.11940298507463,CAN,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
140778,Liu Yan,21.0,164.0,52.0,CHN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,1
140779,Liu Yan,25.0,164.0,52.0,CHN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,2,2
140799,Liu Ying,18.0,161.31335149863762,51.11940298507463,CHN,1994,Lillehammer,Figure Skating,Figure Skating Women's Singles,no medal,4,1
142847,Beatrix Suzetta Loughran (-Harvey),23.0,161.31335149863762,51.11940298507463,USA,1924,Chamonix,Figure Skating,Figure Skating Women's Singles,Silver,3,1
142848,Beatrix Suzetta Loughran (-Harvey),27.0,161.31335149863762,51.11940298507463,USA,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,Bronze,3,2
143409,Roxana Maria Luca,19.0,164.0,55.0,ROU,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,2,1
143410,Roxana Maria Luca,23.0,164.0,55.0,ROU,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,2
144177,Ally Lundstrm (-Flodstrm),20.0,161.31335149863762,51.11940298507463,SWE,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
144762,"Janet Lynn (Nowicki-, -Salomon)",14.0,158.0,49.0,USA,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,2,1
144763,"Janet Lynn (Nowicki-, -Salomon)",18.0,158.0,49.0,USA,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,Bronze,2,2
