,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
154724,"Gordon Riley ""Gordie"" McKellen, Jr.",18.0,160.0,65.0,USA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
155253,John Donald McPherson,14.0,173.39762611275964,65.59163987138264,CAN,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
155465,Axel Mdric,17.0,173.39762611275964,65.59163987138264,FRA,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
155472,Cameron Bradley Medhurst,18.0,162.0,56.0,AUS,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,3,1
155473,Cameron Bradley Medhurst,22.0,162.0,56.0,AUS,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,3,2
155474,Cameron Bradley Medhurst,26.0,162.0,56.0,AUS,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,3,3
155826,Patrick Meier,21.0,170.0,69.0,SUI,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,1,1
157419,"Frdricus Alexis Edwardus Alick ""Freddy"" Msot",18.0,174.0,65.59163987138264,BEL,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,1,1
159305,ric Millot,23.0,165.0,53.0,FRA,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,2,1
159306,ric Millot,25.0,165.0,53.0,FRA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,2,2
164887,Jacques Mrozek,17.0,171.0,65.0,FRA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,1
164888,Jacques Mrozek,21.0,171.0,65.0,FRA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
165386,Hans Mller,24.0,173.39762611275964,65.59163987138264,SUI,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,3,2
166116,Aleksandr Aleksandrovich Murashko,22.0,174.0,63.0,BLR,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,1,1
166126,Mitsuhiro Murata,22.0,173.0,68.0,JPN,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,1,1
166486,Vakht'ang Murvanidze,22.0,173.0,64.0,GEO,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,2,1
166487,Vakht'ang Murvanidze,26.0,173.0,64.0,GEO,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,2,2
167462,William Joseph Nagle,46.0,173.39762611275964,65.59163987138264,USA,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
169022,"William ""Bill"" Neale",20.0,173.39762611275964,65.59163987138264,CAN,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
169254,Marius-Cristian Negrea,27.0,173.39762611275964,65.59163987138264,ROU,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,2,1
169255,Marius-Cristian Negrea,29.0,173.39762611275964,65.59163987138264,ROU,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,2,2
171579,Marcus Rafael Nikkanen,24.0,173.39762611275964,65.59163987138264,FIN,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,3,1
171580,Marcus Rafael Nikkanen,28.0,173.39762611275964,65.59163987138264,FIN,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,3,2
171581,Marcus Rafael Nikkanen,32.0,173.39762611275964,65.59163987138264,FIN,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,3,3
171809,Nathaniel William Niles,37.0,173.39762611275964,65.59163987138264,USA,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,3,2
171811,Nathaniel William Niles,41.0,173.39762611275964,65.59163987138264,USA,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,3,3
173958,Ari-Pekka Nurmenkari,26.0,180.0,75.0,FIN,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
174649,Lars Thomaz berg,21.0,180.0,65.0,SWE,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
174765,Ryuichi Obitani,23.0,173.39762611275964,65.59163987138264,JPN,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
175087,Nobunari Oda,22.0,164.0,56.0,JPN,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
175391,Masaru Ogawa,19.0,157.0,54.0,JPN,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
175713,Fumihiro Oikawa,20.0,174.0,67.0,JPN,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,1,1
